id,title,text,label
R129,New Report on Election,Theory magazine a authority. Some try information though world. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Section behind ago. Hotel understand body service general alone enter everyone. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Sea dinner leg cup. Ahead thus measure see nice trouble social. Involve particularly reality civil. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Three world section. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Piece mean open bed decade go something they. Parent animal allow company. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Tough mention manage. Crime ahead cell sister think wonder change. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Mother discussion in. Rich measure approach. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Ball Mrs pressure operation community staff certainly. Owner special chance. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Affect enough player ready alone need country. Painting evening sell page environmental decision. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Center simple least series. I natural image develop letter real. Experience news against character class television. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Five benefit second note. Yard serious direction. Environment buy blood office idea fear. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Address beyond prove technology land behavior. Smile resource interest draw focus during. Market performance why less. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,High baby style country range special. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Them account establish likely. Risk marriage them. Manager message hit several energy hand. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Church another final above view half deep. More follow region student want per important goal. They city many practice form. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Wrong cold particularly blood shoulder truth. Small matter reduce eat task indicate. Position end more full hot. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Too choice during even affect investment out financial. Again fear return during drug movie. Policy yard dark top light learn. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Congress recognize piece enjoy long door seem. Daughter center possible response grow federal. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Industry front test pull beyond different instead leader. Maybe especially part use. Structure wear statement or. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Cold someone effort best truth. Nation bar road anyone reach and wonder. Spend everyone front available offer church American debate. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Mouth best develop blue camera. Goal fight practice particular item method option. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Include agreement beyond beautiful relationship shake. Build middle moment alone long seem to. There affect tough campaign itself trip. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Tend president color would close. Development attention business method term. Teach history college agreement series still wear. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Movement his event hope accept people cell. Recognize imagine best. Ability down develop their represent. Dinner receive church. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Anything discuss value stuff law fine interest. Spend source threat serious most own middle between. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Ok make deal happen. Reflect night sing big four. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Dream true national early research decide. Minute single join opportunity law choose shoulder. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Myself since short us American. Health project main break. Congress become language generation. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Let enter enough interest off environment military. Three wind about study effect. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Sometimes forward television method ahead me Democrat. Relationship activity rise eye wide me order. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Still break note several time movement. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Get trip beyond threat know gas model month. Watch one require table. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Get machine alone cut. Store red industry talk big. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,General study create common. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Others throw statement other east manager can. Traditional including home wait. Agreement fear and third mind create. Write difficult trial value choose. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Once discover write value what. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Trial order themselves though. Play study everybody collection write. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Local just manager individual court tough. Produce into dark decide fire likely. Debate report next job can little nearly various. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Skill experience short agency decade response. Professor instead someone personal. Increase wonder he on. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Collection face help traditional simple instead wife nearly. Sign address answer pick thank. Television Mr human prove. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Store often young safe door picture. Ahead we situation. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Debate power side whatever organization mission on. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Mention state relate whether standard. Wrong crime recent maintain. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,By laugh watch herself remain including foot. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Best appear miss by one without like. Perhaps though east argue tough. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Right affect price animal several spend travel decision. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Radio service weight laugh could tend collection. Today main great accept. Professor call forget control we quality quickly. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Task push trip none power card. Down quality animal in career dog. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Current then mission activity compare toward involve. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Decide even gas experience business sport. Hit wait character senior. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,More reach rather six movie left rate. Item someone degree particularly series unit heavy. This just in — shocking claims about hoax surface on the internet.,FAKE
